id,video_name,label,person,video_path
1,1.MOV,Bạn bè,person_01,person_01\Bạn bè\1.MOV
2,10.MOV,Bạn bè,person_01,person_01\Bạn bè\10.MOV
3,2.MOV,Bạn bè,person_01,person_01\Bạn bè\2.MOV
4,3.MOV,Bạn bè,person_01,person_01\Bạn bè\3.MOV
5,4.MOV,Bạn bè,person_01,person_01\Bạn bè\4.MOV
6,5.MOV,Bạn bè,person_01,person_01\Bạn bè\5.MOV
7,6.MOV,Bạn bè,person_01,person_01\Bạn bè\6.MOV
8,7.MOV,Bạn bè,person_01,person_01\Bạn bè\7.MOV
9,8.MOV,Bạn bè,person_01,person_01\Bạn bè\8.MOV
10,9.MOV,Bạn bè,person_01,person_01\Bạn bè\9.MOV
11,friend_001.MOV,Bạn bè,person_01,person_01\Bạn bè\friend_001.MOV
12,friend_002.MOV,Bạn bè,person_01,person_01\Bạn bè\friend_002.MOV
13,friend_003.MOV,Bạn bè,person_01,person_01\Bạn bè\friend_003.MOV
14,friend_004.MOV,Bạn bè,person_01,person_01\Bạn bè\friend_004.MOV
15,friend_005.MOV,Bạn bè,person_01,person_01\Bạn bè\friend_005.MOV
16,friend_006.MOV,Bạn bè,person_01,person_01\Bạn bè\friend_006.MOV
17,1.MOV,Bố,person_01,person_01\Bố\1.MOV
18,10.MOV,Bố,person_01,person_01\Bố\10.MOV
19,2.MOV,Bố,person_01,person_01\Bố\2.MOV
20,3.MOV,Bố,person_01,person_01\Bố\3.MOV
21,4.MOV,Bố,person_01,person_01\Bố\4.MOV
22,5.MOV,Bố,person_01,person_01\Bố\5.MOV
23,6.MOV,Bố,person_01,person_01\Bố\6.MOV
24,7.MOV,Bố,person_01,person_01\Bố\7.MOV
25,8.MOV,Bố,person_01,person_01\Bố\8.MOV
26,9.MOV,Bố,person_01,person_01\Bố\9.MOV
27,dad_001.MOV,Bố,person_01,person_01\Bố\dad_001.MOV
28,dad_002.MOV,Bố,person_01,person_01\Bố\dad_002.MOV
29,dad_003.MOV,Bố,person_01,person_01\Bố\dad_003.MOV
30,dad_004.MOV,Bố,person_01,person_01\Bố\dad_004.MOV
31,dad_005.MOV,Bố,person_01,person_01\Bố\dad_005.MOV
32,7912585322712.mp4,Có,person_01,person_01\Có\7912585322712.mp4
33,7912585588402.mp4,Có,person_01,person_01\Có\7912585588402.mp4
34,91.MOV,Có,person_01,person_01\Có\91.MOV
35,93.MOV,Có,person_01,person_01\Có\93.MOV
36,95.MOV,Có,person_01,person_01\Có\95.MOV
37,97.MOV,Có,person_01,person_01\Có\97.MOV
38,98.MOV,Có,person_01,person_01\Có\98.MOV
39,99.MOV,Có,person_01,person_01\Có\99.MOV
40,yes_001.MOV,Có,person_01,person_01\Có\yes_001.MOV
41,yes_002.MOV,Có,person_01,person_01\Có\yes_002.MOV
42,yes_003.MOV,Có,person_01,person_01\Có\yes_003.MOV
43,yes_004.MOV,Có,person_01,person_01\Có\yes_004.MOV
44,yes_005.MOV,Có,person_01,person_01\Có\yes_005.MOV
45,51.MOV,Cảm ơn,person_01,person_01\Cảm ơn\51.MOV
46,54.MOV,Cảm ơn,person_01,person_01\Cảm ơn\54.MOV
47,56.MOV,Cảm ơn,person_01,person_01\Cảm ơn\56.MOV
48,57.MOV,Cảm ơn,person_01,person_01\Cảm ơn\57.MOV
49,58.MOV,Cảm ơn,person_01,person_01\Cảm ơn\58.MOV
50,7912585361670.mp4,Cảm ơn,person_01,person_01\Cảm ơn\7912585361670.mp4
51,7912585594265.mp4,Cảm ơn,person_01,person_01\Cảm ơn\7912585594265.mp4
52,thanks_001.MOV,Cảm ơn,person_01,person_01\Cảm ơn\thanks_001.MOV
53,thanks_002.MOV,Cảm ơn,person_01,person_01\Cảm ơn\thanks_002.MOV
54,thanks_003.MOV,Cảm ơn,person_01,person_01\Cảm ơn\thanks_003.MOV
55,thanks_004.MOV,Cảm ơn,person_01,person_01\Cảm ơn\thanks_004.MOV
56,thanks_005.MOV,Cảm ơn,person_01,person_01\Cảm ơn\thanks_005.MOV
