id,video_name,label,person,video_path
932,1.MOV,Bạn bè,person_01,person_01\Bạn bè\1.MOV
933,10.MOV,Bạn bè,person_01,person_01\Bạn bè\10.MOV
934,2.MOV,Bạn bè,person_01,person_01\Bạn bè\2.MOV
935,3.MOV,Bạn bè,person_01,person_01\Bạn bè\3.MOV
936,4.MOV,Bạn bè,person_01,person_01\Bạn bè\4.MOV
937,5.MOV,Bạn bè,person_01,person_01\Bạn bè\5.MOV
938,6.MOV,Bạn bè,person_01,person_01\Bạn bè\6.MOV
939,7.MOV,Bạn bè,person_01,person_01\Bạn bè\7.MOV
940,8.MOV,Bạn bè,person_01,person_01\Bạn bè\8.MOV
941,9.MOV,Bạn bè,person_01,person_01\Bạn bè\9.MOV
942,friend_001.MOV,Bạn bè,person_01,person_01\Bạn bè\friend_001.MOV
943,friend_002.MOV,Bạn bè,person_01,person_01\Bạn bè\friend_002.MOV
944,friend_003.MOV,Bạn bè,person_01,person_01\Bạn bè\friend_003.MOV
945,friend_004.MOV,Bạn bè,person_01,person_01\Bạn bè\friend_004.MOV
946,friend_005.MOV,Bạn bè,person_01,person_01\Bạn bè\friend_005.MOV
947,friend_006.MOV,Bạn bè,person_01,person_01\Bạn bè\friend_006.MOV
697,1.MOV,Bố,person_01,person_01\Bố\1.MOV
698,10.MOV,Bố,person_01,person_01\Bố\10.MOV
699,2.MOV,Bố,person_01,person_01\Bố\2.MOV
700,3.MOV,Bố,person_01,person_01\Bố\3.MOV
701,4.MOV,Bố,person_01,person_01\Bố\4.MOV
702,5.MOV,Bố,person_01,person_01\Bố\5.MOV
703,6.MOV,Bố,person_01,person_01\Bố\6.MOV
704,7.MOV,Bố,person_01,person_01\Bố\7.MOV
705,8.MOV,Bố,person_01,person_01\Bố\8.MOV
706,9.MOV,Bố,person_01,person_01\Bố\9.MOV
707,dad_001.MOV,Bố,person_01,person_01\Bố\dad_001.MOV
708,dad_002.MOV,Bố,person_01,person_01\Bố\dad_002.MOV
709,dad_003.MOV,Bố,person_01,person_01\Bố\dad_003.MOV
710,dad_004.MOV,Bố,person_01,person_01\Bố\dad_004.MOV
711,dad_005.MOV,Bố,person_01,person_01\Bố\dad_005.MOV
693,7912585322712.mp4,Có,person_01,person_01\Có\7912585322712.mp4
694,7912585588402.mp4,Có,person_01,person_01\Có\7912585588402.mp4
1,91.MOV,Có,person_01,person_01\Có\91.MOV
2,93.MOV,Có,person_01,person_01\Có\93.MOV
3,95.MOV,Có,person_01,person_01\Có\95.MOV
4,97.MOV,Có,person_01,person_01\Có\97.MOV
5,98.MOV,Có,person_01,person_01\Có\98.MOV
6,99.MOV,Có,person_01,person_01\Có\99.MOV
7,yes_001.MOV,Có,person_01,person_01\Có\yes_001.MOV
8,yes_002.MOV,Có,person_01,person_01\Có\yes_002.MOV
9,yes_003.MOV,Có,person_01,person_01\Có\yes_003.MOV
10,yes_004.MOV,Có,person_01,person_01\Có\yes_004.MOV
11,yes_005.MOV,Có,person_01,person_01\Có\yes_005.MOV
12,51.MOV,Cảm ơn,person_01,person_01\Cảm ơn\51.MOV
13,54.MOV,Cảm ơn,person_01,person_01\Cảm ơn\54.MOV
14,56.MOV,Cảm ơn,person_01,person_01\Cảm ơn\56.MOV
15,57.MOV,Cảm ơn,person_01,person_01\Cảm ơn\57.MOV
16,58.MOV,Cảm ơn,person_01,person_01\Cảm ơn\58.MOV
695,7912585361670.mp4,Cảm ơn,person_01,person_01\Cảm ơn\7912585361670.mp4
696,7912585594265.mp4,Cảm ơn,person_01,person_01\Cảm ơn\7912585594265.mp4
17,thanks_001.MOV,Cảm ơn,person_01,person_01\Cảm ơn\thanks_001.MOV
18,thanks_002.MOV,Cảm ơn,person_01,person_01\Cảm ơn\thanks_002.MOV
19,thanks_003.MOV,Cảm ơn,person_01,person_01\Cảm ơn\thanks_003.MOV
20,thanks_004.MOV,Cảm ơn,person_01,person_01\Cảm ơn\thanks_004.MOV
21,thanks_005.MOV,Cảm ơn,person_01,person_01\Cảm ơn\thanks_005.MOV
712,1.MOV,Hiểu,person_01,person_01\Hiểu\1.MOV
713,10.MOV,Hiểu,person_01,person_01\Hiểu\10.MOV
714,2.MOV,Hiểu,person_01,person_01\Hiểu\2.MOV
715,3.MOV,Hiểu,person_01,person_01\Hiểu\3.MOV
716,4.MOV,Hiểu,person_01,person_01\Hiểu\4.MOV
717,5.MOV,Hiểu,person_01,person_01\Hiểu\5.MOV
718,6.MOV,Hiểu,person_01,person_01\Hiểu\6.MOV
719,7.MOV,Hiểu,person_01,person_01\Hiểu\7.MOV
720,8.MOV,Hiểu,person_01,person_01\Hiểu\8.MOV
721,9.MOV,Hiểu,person_01,person_01\Hiểu\9.MOV
722,understand_001.MOV,Hiểu,person_01,person_01\Hiểu\understand_001.MOV
22,71.MOV,Hạnh phúc,person_01,person_01\Hạnh phúc\71.MOV
23,72.MOV,Hạnh phúc,person_01,person_01\Hạnh phúc\72.MOV
24,73.MOV,Hạnh phúc,person_01,person_01\Hạnh phúc\73.MOV
25,74.MOV,Hạnh phúc,person_01,person_01\Hạnh phúc\74.MOV
26,75.MOV,Hạnh phúc,person_01,person_01\Hạnh phúc\75.MOV
27,76.MOV,Hạnh phúc,person_01,person_01\Hạnh phúc\76.MOV
28,77.MOV,Hạnh phúc,person_01,person_01\Hạnh phúc\77.MOV
29,78.MOV,Hạnh phúc,person_01,person_01\Hạnh phúc\78.MOV
30,79.MOV,Hạnh phúc,person_01,person_01\Hạnh phúc\79.MOV
578,7912585665651.mp4,Hạnh phúc,person_01,person_01\Hạnh phúc\7912585665651.mp4
579,7912585726327.mp4,Hạnh phúc,person_01,person_01\Hạnh phúc\7912585726327.mp4
31,80.MOV,Hạnh phúc,person_01,person_01\Hạnh phúc\80.MOV
32,happy_001.MOV,Hạnh phúc,person_01,person_01\Hạnh phúc\happy_001.MOV
723,1.MOV,Học,person_01,person_01\Học\1.MOV
724,10.MOV,Học,person_01,person_01\Học\10.MOV
725,2.MOV,Học,person_01,person_01\Học\2.MOV
726,3.MOV,Học,person_01,person_01\Học\3.MOV
727,4.MOV,Học,person_01,person_01\Học\4.MOV
728,5.MOV,Học,person_01,person_01\Học\5.MOV
729,6.MOV,Học,person_01,person_01\Học\6.MOV
730,7.MOV,Học,person_01,person_01\Học\7.MOV
731,8.MOV,Học,person_01,person_01\Học\8.MOV
732,9.MOV,Học,person_01,person_01\Học\9.MOV
733,learn_001.MOV,Học,person_01,person_01\Học\learn_001.MOV
33,41.MOV,Không,person_01,person_01\Không\41.MOV
34,42.MOV,Không,person_01,person_01\Không\42.MOV
35,43.MOV,Không,person_01,person_01\Không\43.MOV
36,44.MOV,Không,person_01,person_01\Không\44.MOV
37,45.MOV,Không,person_01,person_01\Không\45.MOV
38,46.MOV,Không,person_01,person_01\Không\46.MOV
39,47.MOV,Không,person_01,person_01\Không\47.MOV
40,48.MOV,Không,person_01,person_01\Không\48.MOV
41,49.MOV,Không,person_01,person_01\Không\49.MOV
42,50.MOV,Không,person_01,person_01\Không\50.MOV
580,7912585767155.mp4,Không,person_01,person_01\Không\7912585767155.mp4
581,7912585850011.mp4,Không,person_01,person_01\Không\7912585850011.mp4
734,1.MOV,Thích,person_01,person_01\Thích\1.MOV
735,10.MOV,Thích,person_01,person_01\Thích\10.MOV
736,2.MOV,Thích,person_01,person_01\Thích\2.MOV
737,3.MOV,Thích,person_01,person_01\Thích\3.MOV
738,4.MOV,Thích,person_01,person_01\Thích\4.MOV
739,5.MOV,Thích,person_01,person_01\Thích\5.MOV
740,6.MOV,Thích,person_01,person_01\Thích\6.MOV
741,7.MOV,Thích,person_01,person_01\Thích\7.MOV
742,8.MOV,Thích,person_01,person_01\Thích\8.MOV
743,9.MOV,Thích,person_01,person_01\Thích\9.MOV
744,like_001.MOV,Thích,person_01,person_01\Thích\like_001.MOV
582,7912585442972.mp4,Tôi,person_01,person_01\Tôi\7912585442972.mp4
583,7912585609868.mp4,Tôi,person_01,person_01\Tôi\7912585609868.mp4
44,81.MOV,Tôi,person_01,person_01\Tôi\81.MOV
45,82.MOV,Tôi,person_01,person_01\Tôi\82.MOV
46,83.MOV,Tôi,person_01,person_01\Tôi\83.MOV
47,84.MOV,Tôi,person_01,person_01\Tôi\84.MOV
48,85.MOV,Tôi,person_01,person_01\Tôi\85.MOV
49,86.MOV,Tôi,person_01,person_01\Tôi\86.MOV
50,87.MOV,Tôi,person_01,person_01\Tôi\87.MOV
51,88.MOV,Tôi,person_01,person_01\Tôi\88.MOV
52,89.MOV,Tôi,person_01,person_01\Tôi\89.MOV
53,90.MOV,Tôi,person_01,person_01\Tôi\90.MOV
54,me_001.MOV,Tôi,person_01,person_01\Tôi\me_001.MOV
55,01.MOV,Tạm biệt,person_01,person_01\Tạm biệt\01.MOV
56,02.MOV,Tạm biệt,person_01,person_01\Tạm biệt\02.MOV
57,03.MOV,Tạm biệt,person_01,person_01\Tạm biệt\03.MOV
58,04.MOV,Tạm biệt,person_01,person_01\Tạm biệt\04.MOV
59,05.MOV,Tạm biệt,person_01,person_01\Tạm biệt\05.MOV
60,06.MOV,Tạm biệt,person_01,person_01\Tạm biệt\06.MOV
61,07.MOV,Tạm biệt,person_01,person_01\Tạm biệt\07.MOV
62,08.MOV,Tạm biệt,person_01,person_01\Tạm biệt\08.MOV
63,09.MOV,Tạm biệt,person_01,person_01\Tạm biệt\09.MOV
64,10.MOV,Tạm biệt,person_01,person_01\Tạm biệt\10.MOV
584,7912585073522.mp4,Tạm biệt,person_01,person_01\Tạm biệt\7912585073522.mp4
585,7912585260583.mp4,Tạm biệt,person_01,person_01\Tạm biệt\7912585260583.mp4
65,goodbye_001.MOV,Tạm biệt,person_01,person_01\Tạm biệt\goodbye_001.MOV
66,31.MOV,Uống,person_01,person_01\Uống\31.MOV
67,32.MOV,Uống,person_01,person_01\Uống\32.MOV
68,33.MOV,Uống,person_01,person_01\Uống\33.MOV
69,34.MOV,Uống,person_01,person_01\Uống\34.MOV
70,35.MOV,Uống,person_01,person_01\Uống\35.MOV
71,36.MOV,Uống,person_01,person_01\Uống\36.MOV
72,37.MOV,Uống,person_01,person_01\Uống\37.MOV
73,38.MOV,Uống,person_01,person_01\Uống\38.MOV
74,39.MOV,Uống,person_01,person_01\Uống\39.MOV
75,40.MOV,Uống,person_01,person_01\Uống\40.MOV
586,7912585401111.mp4,Uống,person_01,person_01\Uống\7912585401111.mp4
587,7912585513514.mp4,Uống,person_01,person_01\Uống\7912585513514.mp4
76,drink_001.MOV,Uống,person_01,person_01\Uống\drink_001.MOV
77,11.MOV,Xin chào,person_01,person_01\Xin chào\11.MOV
78,12.MOV,Xin chào,person_01,person_01\Xin chào\12.MOV
79,13.MOV,Xin chào,person_01,person_01\Xin chào\13.MOV
80,14.MOV,Xin chào,person_01,person_01\Xin chào\14.MOV
81,15.MOV,Xin chào,person_01,person_01\Xin chào\15.MOV
82,16.MOV,Xin chào,person_01,person_01\Xin chào\16.MOV
83,17.MOV,Xin chào,person_01,person_01\Xin chào\17.MOV
84,18.MOV,Xin chào,person_01,person_01\Xin chào\18.MOV
85,19.MOV,Xin chào,person_01,person_01\Xin chào\19.MOV
86,20.MOV,Xin chào,person_01,person_01\Xin chào\20.MOV
588,7912584984887.mp4,Xin chào,person_01,person_01\Xin chào\7912584984887.mp4
589,7912585282669.mp4,Xin chào,person_01,person_01\Xin chào\7912585282669.mp4
87,hello_001.MOV,Xin chào,person_01,person_01\Xin chào\hello_001.MOV
88,21.MOV,Xin lỗi,person_01,person_01\Xin lỗi\21.MOV
89,22.MOV,Xin lỗi,person_01,person_01\Xin lỗi\22.MOV
90,23.MOV,Xin lỗi,person_01,person_01\Xin lỗi\23.MOV
91,24.MOV,Xin lỗi,person_01,person_01\Xin lỗi\24.MOV
92,25.MOV,Xin lỗi,person_01,person_01\Xin lỗi\25.MOV
93,26.MOV,Xin lỗi,person_01,person_01\Xin lỗi\26.MOV
94,27.MOV,Xin lỗi,person_01,person_01\Xin lỗi\27.MOV
95,28.MOV,Xin lỗi,person_01,person_01\Xin lỗi\28.MOV
96,29.MOV,Xin lỗi,person_01,person_01\Xin lỗi\29.MOV
97,30.MOV,Xin lỗi,person_01,person_01\Xin lỗi\30.MOV
590,7912585102713.mp4,Xin lỗi,person_01,person_01\Xin lỗi\7912585102713.mp4
591,7912585116783.mp4,Xin lỗi,person_01,person_01\Xin lỗi\7912585116783.mp4
98,sorry_001.MOV,Xin lỗi,person_01,person_01\Xin lỗi\sorry_001.MOV
99,61.MOV,Ăn,person_01,person_01\Ăn\61.MOV
100,62.MOV,Ăn,person_01,person_01\Ăn\62.MOV
101,63.MOV,Ăn,person_01,person_01\Ăn\63.MOV
102,64.MOV,Ăn,person_01,person_01\Ăn\64.MOV
103,65.MOV,Ăn,person_01,person_01\Ăn\65.MOV
104,66.MOV,Ăn,person_01,person_01\Ăn\66.MOV
105,67.MOV,Ăn,person_01,person_01\Ăn\67.MOV
